<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GDAX.BTC-USD;D;20191229;000000;7384.8900000
GDAX.BTC-USD;D;20191230;000000;7218.0000000
GDAX.BTC-USD;D;20191231;000000;7165.7200000
GDAX.BTC-USD;D;20200101;000000;7174.3300000
GDAX.BTC-USD;D;20200102;000000;6945.0200000
GDAX.BTC-USD;D;20200103;000000;7334.4500000
GDAX.BTC-USD;D;20200104;000000;7348.6300000
GDAX.BTC-USD;D;20200105;000000;7355.4000000
GDAX.BTC-USD;D;20200106;000000;7764.6300000
GDAX.BTC-USD;D;20200107;000000;8158.5200000
GDAX.BTC-USD;D;20200108;000000;8045.5100000
GDAX.BTC-USD;D;20200109;000000;7813.7800000
GDAX.BTC-USD;D;20200110;000000;8198.0900000
GDAX.BTC-USD;D;20200111;000000;8020.0000000
GDAX.BTC-USD;D;20200112;000000;8180.8100000
GDAX.BTC-USD;D;20200113;000000;8104.5000000
GDAX.BTC-USD;D;20200114;000000;8815.6900000
GDAX.BTC-USD;D;20200115;000000;8808.8100000
GDAX.BTC-USD;D;20200116;000000;8714.7600000
GDAX.BTC-USD;D;20200117;000000;8899.4200000
GDAX.BTC-USD;D;20200118;000000;8909.3200000
GDAX.BTC-USD;D;20200119;000000;8697.5300000
GDAX.BTC-USD;D;20200120;000000;8628.8900000
GDAX.BTC-USD;D;20200121;000000;8722.0300000
GDAX.BTC-USD;D;20200122;000000;8660.3800000
GDAX.BTC-USD;D;20200123;000000;8385.2200000
GDAX.BTC-USD;D;20200124;000000;8427.2600000
GDAX.BTC-USD;D;20200125;000000;8326.8100000
GDAX.BTC-USD;D;20200126;000000;8595.0000000
GDAX.BTC-USD;D;20200127;000000;8895.9600000
GDAX.BTC-USD;D;20200128;000000;9394.5000000
GDAX.BTC-USD;D;20200129;000000;9288.4400000
GDAX.BTC-USD;D;20200130;000000;9503.0800000
GDAX.BTC-USD;D;20200131;000000;9334.9800000
GDAX.BTC-USD;D;20200201;000000;9380.1800000
GDAX.BTC-USD;D;20200202;000000;9323.5000000
GDAX.BTC-USD;D;20200203;000000;9280.4900000
GDAX.BTC-USD;D;20200204;000000;9164.3300000
GDAX.BTC-USD;D;20200205;000000;9613.8200000
GDAX.BTC-USD;D;20200206;000000;9763.0100000
GDAX.BTC-USD;D;20200207;000000;9808.0500000
GDAX.BTC-USD;D;20200208;000000;9905.6400000
GDAX.BTC-USD;D;20200209;000000;10168.3500000
GDAX.BTC-USD;D;20200210;000000;9851.7800000
GDAX.BTC-USD;D;20200211;000000;10270.0100000
GDAX.BTC-USD;D;20200212;000000;10351.1300000
GDAX.BTC-USD;D;20200213;000000;10236.4900000
GDAX.BTC-USD;D;20200214;000000;10371.3300000
GDAX.BTC-USD;D;20200215;000000;9911.2200000
GDAX.BTC-USD;D;20200216;000000;9921.0000000
GDAX.BTC-USD;D;20200217;000000;9700.0000000
GDAX.BTC-USD;D;20200218;000000;10188.0400000
GDAX.BTC-USD;D;20200219;000000;9600.0800000
GDAX.BTC-USD;D;20200220;000000;9610.0500000
GDAX.BTC-USD;D;20200221;000000;9695.6600000
GDAX.BTC-USD;D;20200222;000000;9668.2300000
GDAX.BTC-USD;D;20200223;000000;9965.0100000
GDAX.BTC-USD;D;20200224;000000;9660.0000000
GDAX.BTC-USD;D;20200225;000000;9305.0000000
GDAX.BTC-USD;D;20200226;000000;8778.3000000
GDAX.BTC-USD;D;20200227;000000;8812.4900000
GDAX.BTC-USD;D;20200228;000000;8708.8900000
GDAX.BTC-USD;D;20200229;000000;8525.0700000
GDAX.BTC-USD;D;20200301;000000;8522.3100000
GDAX.BTC-USD;D;20200302;000000;8915.0000000
GDAX.BTC-USD;D;20200303;000000;8757.8400000
GDAX.BTC-USD;D;20200304;000000;8760.6600000
GDAX.BTC-USD;D;20200305;000000;9070.1700000
GDAX.BTC-USD;D;20200306;000000;9158.5100000
GDAX.BTC-USD;D;20200307;000000;8901.3700000
GDAX.BTC-USD;D;20200308;000000;8037.7600000
GDAX.BTC-USD;D;20200309;000000;7934.5200000
GDAX.BTC-USD;D;20200310;000000;7894.6800000
GDAX.BTC-USD;D;20200311;000000;7938.0500000
GDAX.BTC-USD;D;20200312;000000;4857.1000000
GDAX.BTC-USD;D;20200313;000000;5637.6000000
GDAX.BTC-USD;D;20200314;000000;5165.2500000
GDAX.BTC-USD;D;20200315;000000;5345.3500000
GDAX.BTC-USD;D;20200316;000000;5037.6100000
GDAX.BTC-USD;D;20200317;000000;5331.7100000
GDAX.BTC-USD;D;20200318;000000;5413.6400000
GDAX.BTC-USD;D;20200319;000000;6186.2600000
GDAX.BTC-USD;D;20200320;000000;6206.1000000
GDAX.BTC-USD;D;20200321;000000;6198.7800000
GDAX.BTC-USD;D;20200322;000000;5818.2500000
GDAX.BTC-USD;D;20200323;000000;6490.6300000
GDAX.BTC-USD;D;20200324;000000;6766.6400000
GDAX.BTC-USD;D;20200325;000000;6690.9600000
GDAX.BTC-USD;D;20200326;000000;6758.1800000
GDAX.BTC-USD;D;20200327;000000;6372.3600000
GDAX.BTC-USD;D;20200328;000000;6251.8200000
GDAX.BTC-USD;D;20200329;000000;5877.2100000
GDAX.BTC-USD;D;20200330;000000;6406.4000000
GDAX.BTC-USD;D;20200331;000000;6424.3500000
GDAX.BTC-USD;D;20200401;000000;6666.1100000
GDAX.BTC-USD;D;20200402;000000;6804.5200000
GDAX.BTC-USD;D;20200403;000000;6741.9900000
GDAX.BTC-USD;D;20200404;000000;6874.7700000
GDAX.BTC-USD;D;20200405;000000;6778.2500000
GDAX.BTC-USD;D;20200406;000000;7341.5600000
GDAX.BTC-USD;D;20200407;000000;7200.0100000
GDAX.BTC-USD;D;20200408;000000;7370.1100000
GDAX.BTC-USD;D;20200409;000000;7293.2400000
GDAX.BTC-USD;D;20200410;000000;6871.9100000
GDAX.BTC-USD;D;20200411;000000;6889.6500000
GDAX.BTC-USD;D;20200412;000000;6908.1300000
GDAX.BTC-USD;D;20200413;000000;6861.2100000
GDAX.BTC-USD;D;20200414;000000;6877.3700000
GDAX.BTC-USD;D;20200415;000000;6624.1200000
GDAX.BTC-USD;D;20200416;000000;7112.6400000
GDAX.BTC-USD;D;20200417;000000;7037.4600000
GDAX.BTC-USD;D;20200418;000000;7261.7600000
GDAX.BTC-USD;D;20200419;000000;7130.7100000
GDAX.BTC-USD;D;20200420;000000;6838.1900000
GDAX.BTC-USD;D;20200421;000000;6853.6800000
GDAX.BTC-USD;D;20200422;000000;7136.8400000
GDAX.BTC-USD;D;20200423;000000;7488.8300000
GDAX.BTC-USD;D;20200424;000000;7514.6400000
GDAX.BTC-USD;D;20200425;000000;7547.6100000
GDAX.BTC-USD;D;20200426;000000;7706.4000000
GDAX.BTC-USD;D;20200427;000000;7789.7700000
GDAX.BTC-USD;D;20200428;000000;7755.0100000
GDAX.BTC-USD;D;20200429;000000;8793.7500000
GDAX.BTC-USD;D;20200430;000000;8624.2800000
GDAX.BTC-USD;D;20200501;000000;8829.4200000
GDAX.BTC-USD;D;20200502;000000;8985.5800000
GDAX.BTC-USD;D;20200503;000000;8909.9500000
GDAX.BTC-USD;D;20200504;000000;8883.5300000
GDAX.BTC-USD;D;20200505;000000;9028.7900000
GDAX.BTC-USD;D;20200506;000000;9155.7900000
GDAX.BTC-USD;D;20200507;000000;10004.7700000
GDAX.BTC-USD;D;20200508;000000;9810.0000000
GDAX.BTC-USD;D;20200509;000000;9537.2100000
GDAX.BTC-USD;D;20200510;000000;8729.8600000
GDAX.BTC-USD;D;20200511;000000;8572.4000000
GDAX.BTC-USD;D;20200512;000000;8821.4200000
GDAX.BTC-USD;D;20200513;000000;9321.2600000
GDAX.BTC-USD;D;20200514;000000;9795.3400000
GDAX.BTC-USD;D;20200515;000000;9312.1000000
GDAX.BTC-USD;D;20200516;000000;9383.1600000
GDAX.BTC-USD;D;20200517;000000;9676.6300000
GDAX.BTC-USD;D;20200518;000000;9728.5200000
GDAX.BTC-USD;D;20200519;000000;9783.7600000
GDAX.BTC-USD;D;20200520;000000;9509.4100000
GDAX.BTC-USD;D;20200521;000000;9061.9600000
GDAX.BTC-USD;D;20200522;000000;9168.8400000
GDAX.BTC-USD;D;20200523;000000;9181.7600000
GDAX.BTC-USD;D;20200524;000000;8715.7300000
GDAX.BTC-USD;D;20200525;000000;8899.3100000
GDAX.BTC-USD;D;20200526;000000;8844.4200000
GDAX.BTC-USD;D;20200527;000000;9208.5300000
GDAX.BTC-USD;D;20200528;000000;9581.0950000
GDAX.BTC-USD;D;20200529;000000;9423.8400000
GDAX.BTC-USD;D;20200530;000000;9700.3300000
GDAX.BTC-USD;D;20200531;000000;9446.5700000
GDAX.BTC-USD;D;20200601;000000;10208.9600000
GDAX.BTC-USD;D;20200602;000000;9522.4600000
GDAX.BTC-USD;D;20200603;000000;9668.0700000
GDAX.BTC-USD;D;20200604;000000;9788.0300000
GDAX.BTC-USD;D;20200605;000000;9613.2100000
GDAX.BTC-USD;D;20200606;000000;9671.7000000
GDAX.BTC-USD;D;20200607;000000;9750.1200000
GDAX.BTC-USD;D;20200608;000000;9781.5100000
GDAX.BTC-USD;D;20200609;000000;9779.4100000
GDAX.BTC-USD;D;20200610;000000;9894.0400000
GDAX.BTC-USD;D;20200611;000000;9268.1600000
GDAX.BTC-USD;D;20200612;000000;9464.1700000
GDAX.BTC-USD;D;20200613;000000;9475.0000000
GDAX.BTC-USD;D;20200614;000000;9325.0000000
GDAX.BTC-USD;D;20200615;000000;9432.5300000
GDAX.BTC-USD;D;20200616;000000;9526.2500000
GDAX.BTC-USD;D;20200617;000000;9457.5100000
GDAX.BTC-USD;D;20200618;000000;9376.1400000
GDAX.BTC-USD;D;20200619;000000;9301.9100000
GDAX.BTC-USD;D;20200620;000000;9355.7400000
GDAX.BTC-USD;D;20200621;000000;9286.1400000
GDAX.BTC-USD;D;20200622;000000;9690.7400000
GDAX.BTC-USD;D;20200623;000000;9623.5600000
GDAX.BTC-USD;D;20200624;000000;9285.9100000
GDAX.BTC-USD;D;20200625;000000;9243.5100000
GDAX.BTC-USD;D;20200626;000000;9155.4200000
GDAX.BTC-USD;D;20200627;000000;9002.4600000
GDAX.BTC-USD;D;20200628;000000;9113.2400000
GDAX.BTC-USD;D;20200629;000000;9184.4500000
GDAX.BTC-USD;D;20200630;000000;9136.2000000
GDAX.BTC-USD;D;20200701;000000;9239.9700000
GDAX.BTC-USD;D;20200702;000000;9091.5300000
GDAX.BTC-USD;D;20200703;000000;9063.8700000
GDAX.BTC-USD;D;20200704;000000;9138.5100000
GDAX.BTC-USD;D;20200705;000000;9074.3900000
GDAX.BTC-USD;D;20200706;000000;9343.3100000
GDAX.BTC-USD;D;20200707;000000;9253.9400000
GDAX.BTC-USD;D;20200708;000000;9435.2800000
GDAX.BTC-USD;D;20200709;000000;9236.9500000
GDAX.BTC-USD;D;20200710;000000;9291.0500000
GDAX.BTC-USD;D;20200711;000000;9235.0000000
GDAX.BTC-USD;D;20200712;000000;9303.3700000
GDAX.BTC-USD;D;20200713;000000;9236.9200000
GDAX.BTC-USD;D;20200714;000000;9256.9400000
GDAX.BTC-USD;D;20200715;000000;9190.1600000
GDAX.BTC-USD;D;20200716;000000;9130.1100000
GDAX.BTC-USD;D;20200717;000000;9154.2900000
GDAX.BTC-USD;D;20200718;000000;9175.8500000
GDAX.BTC-USD;D;20200719;000000;9212.8700000
GDAX.BTC-USD;D;20200720;000000;9161.0500000
GDAX.BTC-USD;D;20200721;000000;9394.1400000
GDAX.BTC-USD;D;20200722;000000;9536.1800000
GDAX.BTC-USD;D;20200723;000000;9613.2400000
GDAX.BTC-USD;D;20200724;000000;9551.2100000
GDAX.BTC-USD;D;20200725;000000;9711.3300000
GDAX.BTC-USD;D;20200726;000000;9941.0000000
GDAX.BTC-USD;D;20200727;000000;11048.9100000
GDAX.BTC-USD;D;20200728;000000;10934.2300000
GDAX.BTC-USD;D;20200729;000000;11110.1200000
GDAX.BTC-USD;D;20200730;000000;11115.9500000
GDAX.BTC-USD;D;20200731;000000;11351.6200000
GDAX.BTC-USD;D;20200801;000000;11810.0700000
GDAX.BTC-USD;D;20200802;000000;11068.5400000
GDAX.BTC-USD;D;20200803;000000;11233.1300000
GDAX.BTC-USD;D;20200804;000000;11197.0400000
GDAX.BTC-USD;D;20200805;000000;11756.7500000
GDAX.BTC-USD;D;20200806;000000;11773.8900000
GDAX.BTC-USD;D;20200807;000000;11606.5200000
GDAX.BTC-USD;D;20200808;000000;11774.9800000
GDAX.BTC-USD;D;20200809;000000;11688.4800000
GDAX.BTC-USD;D;20200810;000000;11899.7300000
GDAX.BTC-USD;D;20200811;000000;11388.5300000
GDAX.BTC-USD;D;20200812;000000;11566.4500000
GDAX.BTC-USD;D;20200813;000000;11795.9500000
GDAX.BTC-USD;D;20200814;000000;11779.0000000
GDAX.BTC-USD;D;20200815;000000;11859.2400000
GDAX.BTC-USD;D;20200816;000000;11918.8400000
GDAX.BTC-USD;D;20200817;000000;12304.2600000
GDAX.BTC-USD;D;20200818;000000;11950.0000000
GDAX.BTC-USD;D;20200819;000000;11758.8700000
GDAX.BTC-USD;D;20200820;000000;11864.2600000
GDAX.BTC-USD;D;20200821;000000;11529.2200000
GDAX.BTC-USD;D;20200822;000000;11672.9300000
GDAX.BTC-USD;D;20200823;000000;11650.0100000
GDAX.BTC-USD;D;20200824;000000;11753.8500000
GDAX.BTC-USD;D;20200825;000000;11324.9200000
GDAX.BTC-USD;D;20200826;000000;11463.2700000
GDAX.BTC-USD;D;20200827;000000;11330.0600000
GDAX.BTC-USD;D;20200828;000000;11535.0000000
GDAX.BTC-USD;D;20200829;000000;11474.3100000
GDAX.BTC-USD;D;20200830;000000;11716.0100000
GDAX.BTC-USD;D;20200831;000000;11655.0000000
GDAX.BTC-USD;D;20200901;000000;11924.2200000
GDAX.BTC-USD;D;20200902;000000;11395.4800000
GDAX.BTC-USD;D;20200903;000000;10172.5200000
GDAX.BTC-USD;D;20200904;000000;10500.0500000
GDAX.BTC-USD;D;20200905;000000;10168.3600000
GDAX.BTC-USD;D;20200906;000000;10257.8600000
GDAX.BTC-USD;D;20200907;000000;10375.0000000
GDAX.BTC-USD;D;20200908;000000;10125.6900000
GDAX.BTC-USD;D;20200909;000000;10224.5600000
GDAX.BTC-USD;D;20200910;000000;10343.2300000
GDAX.BTC-USD;D;20200911;000000;10394.4100000
GDAX.BTC-USD;D;20200912;000000;10446.5200000
GDAX.BTC-USD;D;20200913;000000;10336.7600000
GDAX.BTC-USD;D;20200914;000000;10679.9500000
GDAX.BTC-USD;D;20200915;000000;10783.7500000
GDAX.BTC-USD;D;20200916;000000;10959.6100000
GDAX.BTC-USD;D;20200917;000000;10943.6100000
GDAX.BTC-USD;D;20200918;000000;10937.5200000
GDAX.BTC-USD;D;20200919;000000;11080.0000000
GDAX.BTC-USD;D;20200920;000000;10920.8900000
GDAX.BTC-USD;D;20200921;000000;10416.8200000
GDAX.BTC-USD;D;20200922;000000;10531.1300000
GDAX.BTC-USD;D;20200923;000000;10235.1000000
GDAX.BTC-USD;D;20200924;000000;10740.0100000
GDAX.BTC-USD;D;20200925;000000;10690.5300000
GDAX.BTC-USD;D;20200926;000000;10730.0000000
GDAX.BTC-USD;D;20200927;000000;10778.2000000
GDAX.BTC-USD;D;20200928;000000;10695.5500000
GDAX.BTC-USD;D;20200929;000000;10840.7300000
GDAX.BTC-USD;D;20200930;000000;10779.6300000
GDAX.BTC-USD;D;20201001;000000;10617.6300000
GDAX.BTC-USD;D;20201002;000000;10573.1200000
GDAX.BTC-USD;D;20201003;000000;10551.6500000
GDAX.BTC-USD;D;20201004;000000;10671.1100000
GDAX.BTC-USD;D;20201005;000000;10795.0000000
