<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GDAX.BTC-USD;D;20210308;000000;52415.2300000
GDAX.BTC-USD;D;20210309;000000;54916.3800000
GDAX.BTC-USD;D;20210310;000000;55890.6900000
GDAX.BTC-USD;D;20210311;000000;57815.4700000
GDAX.BTC-USD;D;20210312;000000;57225.9100000
GDAX.BTC-USD;D;20210313;000000;61178.5000000
GDAX.BTC-USD;D;20210314;000000;58972.7000000
GDAX.BTC-USD;D;20210315;000000;55636.1500000
GDAX.BTC-USD;D;20210316;000000;56927.1100000
GDAX.BTC-USD;D;20210317;000000;58925.5400000
GDAX.BTC-USD;D;20210318;000000;57644.9500000
GDAX.BTC-USD;D;20210319;000000;58039.6600000
GDAX.BTC-USD;D;20210320;000000;58116.7000000
GDAX.BTC-USD;D;20210321;000000;57363.3200000
GDAX.BTC-USD;D;20210322;000000;54110.0700000
GDAX.BTC-USD;D;20210323;000000;54345.5400000
GDAX.BTC-USD;D;20210324;000000;52276.1600000
GDAX.BTC-USD;D;20210325;000000;51325.0100000
GDAX.BTC-USD;D;20210326;000000;55072.4400000
GDAX.BTC-USD;D;20210327;000000;54232.6700000
